,GSM77082,GSM77083,GSM78821,GSM78822,GSM78823,GSM78824,GSM78825,GSM78826,GSM78827,GSM78828,GSM78829,GSM78830
1450073_at,61.1,48.9,4.3,19.1,47.7,61.8,21.9,37.1,54.7,23,25.7,17.5
1450074_at,117.7,172.6,26.3,41,95.7,177.8,27.9,30,230.5,39.2,53.8,46.2
1450075_at,6.3,5.9,1,2.2,5.4,2.8,3.5,2,2.4,1.3,1.4,3.5
1450076_at,4.4,3,2,4.6,9.5,25.8,12,13.2,12.9,1.4,13.2,9.9
1450077_at,138.4,116.2,45.6,29.9,102.9,158.3,56.2,32.1,118.4,25.8,18.2,26.9
1450078_at,2,2,2.3,6.5,1.4,6.4,0.4,11.2,36.4,11.1,7.5,9.8
1450079_at,58.2,71,21.6,25.5,122.3,130.7,17.8,18.1,542.7,99,104.5,44.4
1450080_at,77.7,36,16,28.7,13,6.3,4.7,15.7,181.3,101.8,41.9,53.4
1450081_x_at,2106.4,1667.9,532.8,745.2,3633.4,4726.5,1342.2,1648,1692.8,902,763.2,816.4
1450082_s_at,71,61.8,26.4,33.7,49.5,92,12.1,21.7,46.1,12,7.6,9.3
1450083_at,220.1,250.5,60.3,76.2,120.3,197.6,42.7,43.9,272.5,48.6,40,22
1450084_s_at,2573.8,1756.9,1103.5,1040.8,1481.3,2745.5,965.8,1209.5,979.4,526.1,246.3,491.1
1450085_at,169,87.6,56.5,95.6,259.9,442.8,110.6,143.7,822.9,332.1,282,525
1450086_at,196.8,174.2,67.9,105.9,243.9,256.2,106.3,133.1,188.3,69.2,71.7,66.1
1450087_a_at,130.4,266.8,33.7,87.3,315.1,383.9,261.5,198.2,64.2,17.3,36.8,34.3
1450088_a_at,3.7,2.8,1.7,2.1,2.3,2.7,0.4,1.5,3.7,1.7,1.7,0.5
1450089_a_at,95.1,76.2,28.5,39.5,129.5,124.2,41.4,49.4,179.2,45.5,38.5,31.4
1450090_at,83.6,133.1,76.1,103.7,104.9,156,45.4,64.2,111.4,76.8,40,34.4
1450091_at,48.9,49.7,19.5,27.9,53.6,39.8,7.9,14.2,33,11.6,23.8,17.5
1450092_at,46.7,19.9,10.4,25.7,76.9,84.3,41.1,40.4,108.2,29.5,23.8,52.2
1450093_s_at,7,109.1,6.6,89,24.1,25.9,30.4,11.5,71.7,15.9,70.6,2.1
1450094_at,6.1,5.6,0.8,0.7,19.2,3.3,6.8,8.1,2.3,4.6,11,7.9
1450095_a_at,176.9,140.5,74.8,112.9,118.7,162.3,48,45.6,145,74.1,56.3,75
1450096_at,9.2,43.5,3.4,11.7,4.7,9,2.2,2.5,33.1,5.9,8.5,15
1450097_s_at,19.1,11.5,8.8,26,9.3,15.4,22.5,2.3,16,40.2,32.5,52.6
1450098_at,130.1,99.9,33,44.6,79.3,50,20.7,22.7,150.2,41.3,42.1,47.5
1450099_a_at,365.2,249,116.6,144,344.2,432.4,117.9,139,589.3,340.6,265.5,427.6
1450100_a_at,13.3,57.8,2.3,18.7,18.9,92.7,34.6,10,39.8,3.4,13.5,1.7
1450101_a_at,57.7,60.9,18.5,24.5,56.8,49.5,14.2,11.9,61.9,24.8,48.6,13.4
1450102_a_at,477.7,393.7,139.6,236.3,682.3,695.7,193.4,232.8,866.2,380.7,342.3,371
1450103_a_at,538.3,384.3,112,211.3,650.5,833.2,336.7,371.9,458.4,216.1,197.4,252.6
1450104_at,9.9,12.5,3.3,26.4,10.5,12,4,17.2,13.4,26.4,15.3,18
1450105_at,68.5,75.5,39.7,65.9,106,119.1,31.1,21.6,146.9,76.4,44.8,70.2
1450106_a_at,111.6,69.6,44.5,63.3,173.9,158.5,58.1,68.3,133.9,55,37.7,97.6
1450107_a_at,78.8,91.9,20.6,37.7,234.3,458,59.7,74.8,312.8,138.5,116.5,148.3
1450108_at,55.8,44,10.4,13,33.2,35.3,3.8,10.7,12.8,16.3,11.5,2.5
1450109_s_at,21.2,17.4,12.8,6.6,7.3,15.8,1,6.3,31,7.9,1.6,0.8
1450110_at,20.9,137,23.3,32,118.3,56.2,6.6,32.3,174.8,91.7,78.6,73.1
1450111_a_at,161.8,149.2,48.3,61.9,207.2,335.8,147.3,154.7,163.7,64.6,79.2,82.4
1450112_a_at,44,29.1,19.2,15.2,35.2,66.8,23.5,28.5,250.8,141.9,106.6,153.7
1450113_at,77.8,82,36.2,18.5,45.9,36.7,10.1,16.9,83.6,15.1,14.8,9.4
1450114_at,51.4,59.6,29.7,52.8,27.5,15.9,4.6,9.2,63,21.9,22.4,26.7
1450115_at,49.8,50,15.3,15.9,46.4,41.4,14,1.6,66.7,12.7,12,13
1450116_at,12.4,12.6,29.9,16.1,115.4,162.7,50.6,35.5,93.8,24.8,9.3,37.5
1450117_at,834.6,562.4,195.5,161.7,570.3,765.3,98.3,140.1,1418.6,409,238.8,314.6
1450118_a_at,317.5,162.4,185.2,313.3,1759,1479.7,201.2,243.7,1793.7,1997.5,1678.3,940.8
1450119_at,12.5,34.6,4.6,20.2,7.4,37.1,4.8,13.6,74.6,5.6,10.9,4.3
1450120_at,3,11.4,1.1,1.1,12.6,1.9,0.5,1.5,18.3,2.6,1.4,1.2
1450121_at,2.4,11.8,6.3,2,1.9,1,0.8,1,14.1,0.8,1.2,0.9
1450122_at,82.7,85.5,46.6,54.4,58.7,105.6,24.1,29,107.7,66.1,43.7,57.9
1450123_at,2,12.6,2.5,2.9,2.5,9.5,2.3,2.1,3.9,31.2,20.8,0.8
1450124_a_at,17.7,16.2,5.3,23.5,14.4,39.5,16.4,3.4,29.4,5.5,4.9,16.1
1450125_at,56.4,47.5,21.4,23.9,64.2,35.6,4.2,19.3,59.5,10,17.7,13.8
1450126_at,16.9,9,2.7,7.7,4,1.9,0.6,2.4,28.6,1.8,10.1,1.7
1450127_a_at,16.2,15.1,5.4,4.6,10.4,6.1,4.4,4.2,15.1,4.3,6.2,28.4
1450128_at,67,48.1,22.3,24.1,55.3,22.4,15.5,4.6,92.1,15.5,11.6,10.1
1450129_a_at,203.5,162.1,119.1,149.3,388.3,547.6,178.2,229.4,213.2,97.7,93.2,115.8
1450130_at,105,61.7,32.2,37.6,89.8,85.8,27.2,28.3,95.9,34.4,40.9,36.9
1450131_a_at,32.3,24.3,15.6,17.6,38.8,35.2,2.4,11.9,62.1,4.5,2,19.5
1450132_at,24.2,23.7,10.2,17.2,4.7,5.4,1.3,7.7,5.9,1.1,1.1,11.7
1450133_at,2.7,5.4,1.2,2.3,3.5,1.7,0.5,0.2,23.5,5.2,4.2,1.6
1450134_at,68.8,71.3,25,28.4,62.9,42.3,9.2,4.7,139.2,37.7,41.7,53.5
1450135_at,133.8,116.3,39.8,59.1,168,151.3,66.2,69.6,98.8,25,23.1,28.6
1450136_at,10.5,8.2,9.1,2.3,3.3,9.5,0.4,5.1,154.2,39,31.3,28.1
1450137_at,88,52.8,3.2,21.1,56,49.4,3.8,10.3,122,13.8,22.5,31.5
1450138_a_at,3764.7,2424.6,1540.8,1905.9,3603.3,5916.4,1778.6,2254.2,6689.6,4208.1,3292.8,4342.7
1450139_at,10.1,28.4,16.1,11.4,31.8,14.6,2.9,15.7,24,18.3,4.5,5.8
1450140_a_at,36.8,2.1,12.1,10.6,117.6,311,61.3,66.6,36.1,20.8,5.2,7.5
1450141_at,73.2,148.9,17.8,15.8,74,57,2.9,3.2,87.7,16.5,15.3,17.7
1450142_a_at,26.8,26.9,3.9,18.8,38.6,32.2,3.5,2.5,67.8,36.7,37.4,65.1
1450143_at,24.4,47.8,11.4,11,10.6,22.5,0.7,2.2,32.1,8.2,2,11.4
1450144_at,86.3,85.2,49.2,37.5,70.4,50.5,23.6,27.2,277.5,244.9,176.6,253.4
1450145_at,60.8,34.7,11.4,26.2,65.6,64.9,18.5,9.2,44.3,7.7,10.7,9.3
1450146_at,34,42.8,17.4,10.9,115.8,97.2,29.1,43.7,46,8.2,7.4,7.2
1450147_at,119.5,95.3,30.2,39.9,91.1,98.2,18.8,38.2,93.4,27.8,29.4,22
1450148_at,59.3,61.6,13.5,11.2,76.3,42.5,2.7,2,68.3,10.5,9.8,6.8
1450149_a_at,5549.2,4790.4,2901.2,2933.6,4999.4,5475.2,2392.5,2767.3,5845.3,3642.1,2639,3551.6
1450150_a_at,10025.1,8487.1,3604.9,7072.9,7414.3,6893.2,4402.5,4891.4,4812.6,2834.2,2762.2,3445.5
1450151_at,98.1,88,38.2,21.9,50.4,48.5,3.4,1.9,80.2,18.1,6.1,16.1
1450152_at,3.1,5.6,2.2,5.1,5.8,3.2,3.2,1.8,2.3,3.8,1.9,1.7
1450153_at,31.3,28.3,21.6,34.2,63.7,103.1,22.5,13.7,113.3,37.8,28.2,17.2
1450154_at,0.6,4.5,0.9,0.3,1,7.1,1.7,4,4.1,1.6,0.9,1.1
1450155_at,3.4,3.2,1.5,2.6,4,3.1,2.4,1.1,4.5,1.6,2.6,1.8
1450156_a_at,24.8,17.9,6.3,12.1,324.5,378.4,92.9,101.4,29.4,4.3,1.1,14.2
1450157_a_at,12.1,8.5,8.5,8.7,133.4,117.3,45.3,50.9,5.3,5,9.7,2.7
1450158_at,71.4,100.4,48.8,62.9,30.1,64.4,24.7,19.9,41,45.4,22.4,36.2
1450159_at,66.9,80.9,25.5,36.9,48.3,56.8,22.8,28.9,67.2,18.8,15.1,11.8
1450160_at,9.1,11.9,3.4,1.1,27.4,6.5,1.3,3.2,23.7,1,3.7,2.8
1450161_at,3.1,4.9,9.9,32.3,60.4,159,34.1,43.5,29.3,25.1,13.6,23.9
1450162_at,30.3,36.4,14.3,15,28.8,22.4,14.1,2.1,30,13.1,10.2,12
1450163_a_at,18.5,33,20.1,28.5,42.4,74.5,25.6,39.4,52.8,30.4,16,34.4
1450164_at,3.3,1.8,4.6,9.2,3.7,4.2,1.1,9.2,3.6,2.1,2.2,1.7
